Lang_Id,likely_subtag,LangName,regions,variants,ROD,RODs,Macro,unwritten,obsolete,deprecated,areas,ISO 639-3,confirmed,Date modified,comments
ahm,ahm-Latn-CI,"Aizi, Mobumrin",CI,,,,,1,,,WAF,ahm,,,
ahn,ahn-Latn-NG,Àhàn,NG,,,,,1,,,WAF,ahn,,,
aho,aho-Ahom-IN,Ahom,IN,,,,,,,,SAS,aho,CLDR,,Extinct
ahp,ahp-Latn-CI,"Aizi, Aproumu",CI,,,,,1,,,WAF,ahp,,,
ahr,ahr-Zyyy-IN,Ahirani,IN,,,03863 03897,,1,,,SAS,ahr,,,
ahs,ahs-Latn-NG,Ashe,NG,,,,,,,,WAF,ahs,,,
aht,aht-Latn-US,Ahtena,US,,,00121,,1,,,NAM,aht,LE,9-Jan-2018,
aia,aia-Latn-SB,Arosi,SB,,,19430,,,,,MEL,aia,LE,10-Jan-2018,
aib,aib-Arab-CN,Ainu,CN,,,,,,,,EAS,aib,,,
aic,aic-Latn-PG,Ainbai,PG,,,,,1,,,MEL,aic,LE,10-Jan-2018,
aid,aid-Latn-AU,Alngith,AU,,,,,1,,,ANZ,aid,LE,10-Jan-2018,Extinct
aie,aie-Latn-PG,Amara,PG,,,,,,,,MEL,aie,LE,10-Jan-2018,
aif,aif-Latn-PG,Agi,PG,,,,,1,,,MEL,aif,LE,10-Jan-2018,
aig,aig-Latn-AG,Antigua and Barbuda Creole English,AG AI DM GB KN MF MS SX,,,12828,,,,,CAR NEU,aig,,,
aih-Zyyy,aih-Zyyy-CN,Ai-Cham,CN,,,,,1,,,EAS,aih,,,
aii-Cyrl,aii-Cyrl-RU,Assyrian Neo-Aramaic,RU,,,,,,,,EEU,aii,CLDR Supplemental,,
aii-Syrc,aii-Syrc-IQ,Assyrian Neo-Aramaic,AM AT AU AZ BE BR CA CH CY DE GB GE GR IQ IR IT LB NL NZ RU SE SY TR UA US,,,,,,,,ANZ EEU NAM NEU SAM SAS SEU WAS WEU,aii,CLDR Supplemental,11/15/2021,"LE: This one should be primary, but CLDR doesn't indicate it?"
aij,aij-Hebr-IL,Lishanid Noshan,IL,,,,,,,,WAS,aij,,,
aik,aik-Latn-NG,Ake,NG,,,,,1,,,WAF,aik,,,
ail,ail-Latn-PG,Aimele,PG,,,,,,,,MEL,ail,LE,10-Jan-2018,
aim,aim-Latn-IN,Aimol,IN,,,,,,,,SAS,aim,,,
ain,ain-Kana-JP,Ainu,JP,,,,,,,,EAS,ain,,,
ain-Latn,ain-Latn-JP,Ainu,JP,,,,,,,,EAS,ain,,,
aio,aio-Mymr-IN,Aiton,IN,,,,,,,,SAS,aio,,,
aip,aip-Latn-ID,Burumakok,ID,,,,,1,,,SEA,aip,,,NMC 40 speakers nearly extinct
aiq,aiq-Arab-AF,Aimaq,AF IR TJ,,,,,,,,CAS SAS,aiq,,,
air,air-Latn-ID,Airoran,ID,,,,,1,,,SEA,air,,,
ais-Zyyy,ais-Zyyy-TW,"Amis, Nataoran",TW,,,,,,,ami,EAS,ais,,,
ait,ait-Latn-BR,Arikem,BR,,,,,1,,,SAM,ait,LE,10-Jan-2018,Extinct
aiw-Arab,aiw-Arab-ET,Aari,ET,,,,,,,,EAF,aiw,,,
aiw-Ethi,aiw-Ethi-ET,Aari,ET,,,,,,,,EAF,aiw,,,
aiw,aiw-Latn-ET,Aari,ET,,,,,,,,EAF,aiw,,11/15/2021,LE: made Latn primary based on recent literature
aix,aix-Latn-PG,Aighon,PG,,,15777 15778,,,,,MEL,aix,LE,10-Jan-2018,
aiy,aiy-Latn-CF,Ali,CF,,,,,1,,,MAF,aiy,jb,,LE: jb clarified that it will eventually use Latin.
aja,aja-Latn-SS,Aja,SS,,,,,1,,,EAF,aja,,,
ajg,ajg-Latn-BJ,Aja,BJ TG,,,04726 06497,,,,,WAF,ajg,,,
aji,aji-Latn-NC,Ajië,NC,,,,,,,,MEL,aji,LE,10-Jan-2018,
ajn,ajn-Latn-AU,Andajin,AU,,,,,1,,,ANZ,ajn,LE,10-Jan-2018,
ajp,ajp-Arab-JO,"Arabic, South Levantine Spoken",AE AR DE IL JO KW LY PS QA SA SY,,,06209,,,,,SAM WAS,ajp,,,
ajs,ajs-Zxxx-DZ,Algerian Jewish Sign Language,DZ,,,,,,,,,ajs,,,
ajt,ajt-Arab-TN,"Arabic, Judeo-Tunisian",ES IL IT TN,,,,,,,aeb,NAF SEU WAS,ajt,,,
ajt-Hebr,ajt-Hebr-IL,"Arabic, Judeo-Tunisian",ES IL IT TN,,,,,,1,aeb,NAF SEU WAS,ajt,,,
aju-Arab,aju-Arab-MA,"Arabic, Judeo-Moroccan",CA IL MA,,,,jrb,,,,NAF NAM WAS,aju,,,
aju-Hebr,aju-Hebr-IL,"Arabic, Judeo-Moroccan",CA IL MA,,,,jrb,,,,NAF NAM WAS,aju,,23-Mar-2018,
ajw,ajw-Latn-NG,Ajawa,NG,,,,,1,,,WAF,ajw,,,Extinct
ajz,ajz-Latn-IN,Amri Karbi,IN,,,,,,,,SAS,ajz,,,LE: not in likely subtags.
ak,ak-Latn-GH,Akan,AU CA GB GH LR NL,,,,,,,,NAM NEU WAF,aka,CLDR,,
ak-Arab,ak-Arab-GH,Akan,CA GB GH LR,,,,,,,,NAM NEU WAF,aka,,,
akb,akb-Latn-ID,Batak Angkola,ID,,,01195,,,,,SEA,akb,,20-Apr-2018,
akb-Batk,akb-Batk-ID,Batak Angkola,ID,,,01195,,,,,SEA,akb,,,
akc,akc-Latn-ID,Mpur,ID,,,04236,,,,,SEA,akc,,20-Apr-2018,
akd,akd-Latn-NG,Ukpet-Ehom,NG,,,20933,,1,,,WAF,akd,,,
ake,ake-Latn-GY,Akawaio,BR GY VE,,,,,,,,SAM,ake,LE,9-Jan-2018,
akf,akf-Latn-NG,Akpa,NG,,,02132,,1,,,WAF,akf,,,
akg,akg-Latn-ID,Anakalangu,ID,,,05064,,1,,,SEA,akg,,,
akh,akh-Latn-PG,Angal Heneng,PG,,,00468 03092 04007,,,,,MEL,akh,LE,10-Jan-2018,
aki,aki-Latn-PG,Aiome,PG,,,,,1,,,MEL,aki,LE,10-Jan-2018,
akj-Zyyy,akj-Zyyy-IN,Aka-Jeru,IN,,,,,,,,SAS,akj,,,Extinct
akk,akk-Xsux-IQ,Akkadian,IQ,,,,,,1,,WAS,akk,CLDR,,Ancient
akl,akl-Latn-PH,Inakeanon,PH US,,,,,,,,NAM SEA,akl,,,
